time,open,high,low,close,Candle high,Candle low,TBbox,BBbox,test BaseLine,test BaseLine,test_ema,Go Long,Go Short,Exit Long,Exit Short,Volume,Volume MA
1670619900,11805,11805,11805,11805,11889.75,11884,11944,11884,11884.558333333327,11884.99166666666,11849.343943118754,0,0,0,0,1,2.45
1670800800,11796,11796,11796,11796,11887.75,11885.75,11944,11884,11871.641666666657,11872.141666666661,11838.675154495004,0,0,0,0,1,2.45
1670845500,11841.75,11841.75,11841.75,11841.75,11811,11811,11944,11884,11855.683333333325,11856.149999999994,11839.290123596003,0,0,0,0,1,2.45
1670854200,11831.75,11831.75,11831.75,11831.75,11811,11811,11944,11884,11840.558333333325,11840.924999999994,11837.782098876804,0,0,0,0,1,2.45
1670860200,11768.5,11768.5,11768.5,11768.5,11817.25,11817.25,11944,11884,11828.24166666666,11828.508333333326,11823.925679101443,0,0,0,0,1,2.45
1670868600,11820,11820,11820,11820,11805,11805,11944,11884,11819.54999999999,11819.39166666667,11823.140543281155,0,0,0,0,1,2.45
1670875500,11900,11900,11900,11900,11796,11796,11944,11884,11818.024999999992,11818.025000000003,11838.512434624925,0,0,0,0,1,2.45
1670878500,11950,11950,11950,11950,11841.75,11841.75,11944,11884,11823.199999999992,11823.200000000004,11860.80994769994,0,0,0,0,1,2
1670889900,11950.75,11951.5,11950.75,11951.5,11841.75,11841.75,11944,11884,11833.833333333323,11833.80833333334,11878.947958159952,1,0,0,0,10,2.25
1670892300,11955,11955,11955,11955,11951.5,11950.75,11944,11884,11849.991666666656,11849.941666666671,11894.158366527961,0,0,0,0,1,2.25
1670893800,11949.25,11949.25,11949.25,11949.25,11951.5,11950.75,11944,11884,11872.083333333323,11872.008333333337,11905.176693222369,0,0,0,0,2,2.25
1670894100,11948,11948,11948,11948,11951.5,11950.75,11944,11884,11895.274999999989,11895.175000000003,11913.741354577895,0,0,0,0,1,2.25
